entity_class,canonical_text,total_count,entity_label,page_context,urls,aliases,entity_id
CHARACTER,Beth Harmon,601,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Adjournment|https://the-queens-gambit.fandom.com/wiki/Alice_Harmon|https://the-queens-gambit.fandom.com/wiki/Allston_Wheatley|https://the-queens-gambit.fandom.com/wiki/Alma_Wheatley|https://the-queens-gambit.fandom.com/wiki/Benny_Watts|https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Cleo|https://the-queens-gambit.fandom.com/wiki/D.L._Townes|https://the-queens-gambit.fandom.com/wiki/Doubled_Pawns|https://the-queens-gambit.fandom.com/wiki/End_Game|https://the-queens-gambit.fandom.com/wiki/Exchanges|https://the-queens-gambit.fandom.com/wiki/Fork|https://the-queens-gambit.fandom.com/wiki/Harmon_vs._Borgov_(1968)|https://the-queens-gambit.fandom.com/wiki/Middle_Game|https://the-queens-gambit.fandom.com/wiki/Mr._Shaibel|https://the-queens-gambit.fandom.com/wiki/Openings|https://the-queens-gambit.fandom.com/wiki/Shaibel|https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit|https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit_(novel)|https://the-queens-gambit.fandom.com/wiki/William_Shaibel,Beth|Beth Harmon|Beth Harmon's|Harmon,CHARACTER:beth_harmon-0c125c
CHARACTER,William Shaibel,99,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Doubled_Pawns|https://the-queens-gambit.fandom.com/wiki/End_Game|https://the-queens-gambit.fandom.com/wiki/Exchanges|https://the-queens-gambit.fandom.com/wiki/Fork|https://the-queens-gambit.fandom.com/wiki/Middle_Game|https://the-queens-gambit.fandom.com/wiki/Mr._Shaibel|https://the-queens-gambit.fandom.com/wiki/Openings|https://the-queens-gambit.fandom.com/wiki/Shaibel|https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit|https://the-queens-gambit.fandom.com/wiki/William_Shaibel,Shaibel|William Shaibel,CHARACTER:william_shaibel-beffee
CHARACTER,Vasily Borgov,75,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Adjournment|https://the-queens-gambit.fandom.com/wiki/Benny_Watts|https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Cleo|https://the-queens-gambit.fandom.com/wiki/Doubled_Pawns|https://the-queens-gambit.fandom.com/wiki/End_Game|https://the-queens-gambit.fandom.com/wiki/Fork|https://the-queens-gambit.fandom.com/wiki/Harmon_vs._Borgov_(1968)|https://the-queens-gambit.fandom.com/wiki/Middle_Game|https://the-queens-gambit.fandom.com/wiki/Mr._Shaibel|https://the-queens-gambit.fandom.com/wiki/Openings|https://the-queens-gambit.fandom.com/wiki/Shaibel|https://the-queens-gambit.fandom.com/wiki/William_Shaibel,Borgov|Vasily|Vasily Borgov|Vasily Borgov's,CHARACTER:vasily_borgov-7b1c6a
CHARACTER,Alma Wheatley,69,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Adjournment|https://the-queens-gambit.fandom.com/wiki/Allston_Wheatley|https://the-queens-gambit.fandom.com/wiki/Alma_Wheatley|https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Doubled_Pawns|https://the-queens-gambit.fandom.com/wiki/Exchanges|https://the-queens-gambit.fandom.com/wiki/Fork|https://the-queens-gambit.fandom.com/wiki/Middle_Game|https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit,Alma|Alma Wheatley,CHARACTER:alma_wheatley-c61b8b
CHARACTER,Benny Watts,69,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Adjournment|https://the-queens-gambit.fandom.com/wiki/Benny_Watts|https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Cleo|https://the-queens-gambit.fandom.com/wiki/D.L._Townes|https://the-queens-gambit.fandom.com/wiki/Doubled_Pawns|https://the-queens-gambit.fandom.com/wiki/End_Game|https://the-queens-gambit.fandom.com/wiki/Fork|https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit,Benny|Benny Watts|Benny Watts'|Watts,CHARACTER:benny_watts-6c3c3c
CHARACTER,Harry Beltik,57,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Adjournment|https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/D.L._Townes|https://the-queens-gambit.fandom.com/wiki/End_Game|https://the-queens-gambit.fandom.com/wiki/Exchanges|https://the-queens-gambit.fandom.com/wiki/Fork|https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit,Beltik|Harry|Harry Beltik,CHARACTER:harry_beltik-9f3c6e
CHARACTER,Jolene,49,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Adjournment|https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/End_Game|https://the-queens-gambit.fandom.com/wiki/Exchanges|https://the-queens-gambit.fandom.com/wiki/Openings|https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit,Jolene,CHARACTER:jolene-ef5c2d
CHARACTER,D.L. Townes,43,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Cleo|https://the-queens-gambit.fandom.com/wiki/D.L._Townes|https://the-queens-gambit.fandom.com/wiki/Doubled_Pawns|https://the-queens-gambit.fandom.com/wiki/End_Game|https://the-queens-gambit.fandom.com/wiki/Exchanges|https://the-queens-gambit.fandom.com/wiki/Fork,D.L Townes|D.L. Townes|Townes,CHARACTER:d_l_townes-a69829
CHARACTER,Alice Harmon,34,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Adjournment|https://the-queens-gambit.fandom.com/wiki/Alice_Harmon|https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Doubled_Pawns|https://the-queens-gambit.fandom.com/wiki/End_Game|https://the-queens-gambit.fandom.com/wiki/Fork|https://the-queens-gambit.fandom.com/wiki/Openings,Alice|Alice Harmon,CHARACTER:alice_harmon-b24c50
CHARACTER,Ganz,29,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/End_Game|https://the-queens-gambit.fandom.com/wiki/Mr._Shaibel|https://the-queens-gambit.fandom.com/wiki/Openings|https://the-queens-gambit.fandom.com/wiki/Shaibel|https://the-queens-gambit.fandom.com/wiki/William_Shaibel,Ganz,CHARACTER:ganz-85bbea
