alias,canonical_text,entity_id,entity_class
Alekhine,Alekhine,Character:alekhine-bf6684,Character
Alice,Alice,Character:alice-2e1f17,Character
Alice Harmon,Alice Harmon,Character:alice_harmon-5d125e,Character
Allston,Allston,Character:allston-3e52a1,Character
Allston Wheatley,Allston Wheatley,Character:allston_wheatley-c010b8,Character
Alma,Alma,Character:alma-f59b48,Character
Alma Wheatley,Alma Wheatley,Character:alma_wheatley-5ca547,Character
Annette,Annette,Character:annette-dc37f6,Character
Annette Packer,Annette Packer,Character:annette_packer-6789c0,Character
Arthur Levertov,Arthur Levertov,Character:arthur_levertov-2b1381,Character
Beltik,Beltik,Character:beltik-11889c,Character
Benny,Benny,Character:benny-c852c3,Character
Benny Watts,Benny Watts,Character:benny_watts-5a7374,Character
Beth,Beth,Character:beth-249771,Character
Beth Harmon,Beth Harmon,Character:beth_harmon-ed307a,Character
Bill Camp,Bill Camp,Character:bill_camp-e94e52,Character
Borgov,Borgov,Character:borgov-1769f1,Character
Bradley,Bradley,Character:bradley-38119b,Character
Bulova,Bulova,Character:bulova-453276,Character
Charles Levy,Charles Levy,Character:charles_levy-c895d0,Character
Chloe Pirrie,Chloe Pirrie,Character:chloe_pirrie-27a06c,Character
Christopher,Christopher,Character:christopher-be8e34,Character
Cleo,Cleo,Character:cleo-56b750,Character
Crawford Walker,Crawford Walker,Character:crawford_walker-446e1d,Character
Cullen,Cullen,Character:cullen-6a8994,Character
D.L. Townes,D.L. Townes,Character:d_l_townes-fb4fc2,Character
Deardorff,Deardorff,Character:deardorff-bf9589,Character
Elizabeth,Elizabeth,Character:elizabeth-e40884,Character
Elizabeth Harmon,Elizabeth Harmon,Character:elizabeth_harmon-314b5f,Character
Fergussen,Fergussen,Character:fergussen-27be7a,Character
Flento,Flento,Character:flento-a41815,Character
Ganz,Ganz,Character:ganz-f84605,Character
Harmon,Harmon,Character:harmon-50bda7,Character
Harry Beltik,Harry Beltik,Character:harry_beltik-e4c3db,Character
Helen Deardorff,Helen Deardorff,Character:helen_deardorff-86c8f0,Character
Hellstrom,Hellstrom,Character:hellstrom-c8b424,Character
Hilton Wexler,Hilton Wexler,Character:hilton_wexler-35e297,Character
Jacob Fortune-Lloyd,Jacob Fortune-Lloyd,Character:jacob_fortune_lloyd-abe222,Character
Jesus,Jesus,Character:jesus-fa2ec9,Character
Jolene,Jolene,Character:jolene-cf83fc,Character
Jolene Dewitt,Jolene Dewitt,Character:jolene_dewitt-7030b6,Character
Levertov,Levertov,Character:levertov-f8d4ca,Character
Luchenko,Luchenko,Character:luchenko-aad5d1,Character
Manuel,Manuel,Character:manuel-d50c91,Character
Margaret,Margaret,Character:margaret-ce1958,Character
Margaret Johnson,Margaret Johnson,Character:margaret_johnson-aeffd9,Character
Margaret Neil,Margaret Neil,Character:margaret_neil-abb2cb,Character
Mary-Sue,Mary-Sue,Character:mary_sue-fe9563,Character
Matt,Matt,Character:matt-d07775,Character
Michaelangelo,Michaelangelo,Character:michaelangelo-a364a9,Character
Michaelanglo,Michaelangelo,Character:michaelangelo-a364a9,Character
Mike,Mike,Character:mike-2ef3f7,Character
Morphy,Morphy,Character:morphy-7f8ddf,Character
Najdorf,Najdorf,Character:najdorf-3505e7,Character
Nona Gaprindashvili,Nona Gaprindashvili,Character:nona_gaprindashvili-6aaab2,Character
Packer,Packer,Character:packer-75e6f0,Character
Paul,Paul,Character:paul-fb4141,Character
Roger,Roger,Character:roger-2cbc0e,Character
Shaibel,Shaibel,Character:shaibel-25488d,Character
Shapkin,Shapkin,Character:shapkin-6dcb24,Character
Shirley Munson,Shirley Munson,Character:shirley_munson-9ecc60,Character
Sizemore,Sizemore,Character:sizemore-e93777,Character
Townes,Townes,Character:townes-0aa587,Character
Vasily Borgov,Vasily Borgov,Character:vasily_borgov-b82697,Character
Wexler,Wexler,Character:wexler-bdcc20,Character
White,White,Character:white-f57dea,Character
William Shaibel,William Shaibel,Character:william_shaibel-1906e3,Character
Chess Olympiad,Chess Olympiad,Event:chess_olympiad-94a615,Event
Exchanges,Exchanges,Event:exchanges-e11069,Event
Kentucky State Championship,Kentucky State Championship,Event:kentucky_state_championship-5df4e7,Event
Mexico City Invitational Tournament,Mexico City Invitational Tournament,Event:mexico_city_invitational_tournament-332b52,Event
Moscow Invitational,Moscow Invitational,Event:moscow_invitational-95c9aa,Event
Open,Open,Event:open-f79fe9,Event
Paris Remy-Vallon Invitational,Paris Remy-Vallon Invitational,Event:paris_remy_vallon_invitational-c38967,Event
U.S. Championship,U.S. Championship,Event:u_s_championship-6e77a3,Event
U.S. Open Chess Championship,U.S. Open Chess Championship,Event:u_s_open_chess_championship-dc6cd6,Event
US Championship,US Championship,Event:us_championship-059e00,Event
another U.S. Open,another U.S. Open,Event:another_u_s_open-31632e,Event
the Candidates Tournament,the Candidates Tournament,Event:the_candidates_tournament-f6a3cb,Event
the Cincinnati Tournament,the Cincinnati Tournament,Event:the_cincinnati_tournament-2cab8e,Event
the Kentucky State Championship,the Kentucky State Championship,Event:the_kentucky_state_championship-588585,Event
the Las Vegas U.S. Open Chess Championship,the Las Vegas U.S. Open Chess Championship,Event:the_las_vegas_u_s_open_chess_championship-2e0143,Event
the Las Vegas US Open,the Las Vegas US Open,Event:the_las_vegas_us_open-acd076,Event
the Moscow Invitational,the Moscow Invitational,Event:the_moscow_invitational-ce8c95,Event
the Pittsburgh Tournament,the Pittsburgh Tournament,Event:the_pittsburgh_tournament-8b074f,Event
the U.S. Championship,the U.S. Championship,Event:the_u_s_championship-86e517,Event
the U.S. Open,the U.S. Open,Event:the_u_s_open-8dd5eb,Event
the US Championship,the U.S. Championship,Event:the_u_s_championship-86e517,Event
the Women World Chess Championship,the Women World Chess Championship,Event:the_women_world_chess_championship-eb8805,Event
American,American,Group:american-81cd95,Group
Chinese,Chinese,Group:chinese-ade7ee,Group
Christian,Christian,Group:christian-c0d3c8,Group
Communists,Communists,Group:communists-7b5f61,Group
Dutch,Dutch,Group:dutch-76e126,Group
French,French,Group:french-35b672,Group
German,German,Group:german-734821,Group
Hungarian,Hungarian,Group:hungarian-092e14,Group
Russian,Russian,Group:russian-a27314,Group
Russians,Russians,Group:russians-62a71b,Group
Sicilian,Sicilian,Group:sicilian-958e2a,Group
Soviet,Soviet,Group:soviet-62a689,Group
Soviets,Soviets,Group:soviets-7f4217,Group
Austria,Austria,Location:austria-082585,Location
Cincinnati,Cincinnati,Location:cincinnati-a0d99f,Location
France,France,Location:france-6ffce1,Location
George Town,George Town,Location:george_town-39f077,Location
Hotel de Ville,Hotel de Ville,Location:hotel_de_ville-b67219,Location
Hungary,Hungary,Location:hungary-8aba9c,Location
Italy,Italy,Location:italy-7dc766,Location
Kentucky,Kentucky,Location:kentucky-190bff,Location
Las Vegas,Las Vegas,Location:las_vegas-946932,Location
Lexington,Lexington,Location:lexington-693361,Location
Lucerne,Lucerne,Location:lucerne-49a600,Location
Methuen,Methuen,Location:methuen-ac58a5,Location
Mexico,Mexico,Location:mexico-cd8780,Location
Mexico City,Mexico City,Location:mexico_city-c4dd39,Location
Moscow,Moscow,Location:moscow-58824a,Location
Nevada,Nevada,Location:nevada-aacef4,Location
New York,New York,Location:new_york-a8c649,Location
